episode_index,length,dataset_from_index,dataset_to_index,original_frame_min,original_frame_max,official_env,fully_within_single_scene,env_counts,task_index
0,43,0,43,1572904,1572946,A,True,"{""A"": 43}",0
1,65,43,108,170786,170850,B,True,"{""B"": 65}",1
2,65,108,173,764972,765036,C,True,"{""C"": 65}",2
3,44,173,217,1001911,1001954,C,True,"{""C"": 44}",3
4,65,217,282,1601622,1601686,A,True,"{""A"": 65}",4
5,65,282,347,738113,738177,C,True,"{""C"": 65}",5
6,46,347,393,151144,151189,B,True,"{""B"": 46}",6
7,65,393,458,222353,222417,B,True,"{""B"": 65}",7
8,65,458,523,945056,945120,C,True,"{""C"": 65}",8
9,48,523,571,664704,664751,C,True,"{""C"": 48}",9
10,65,571,636,365243,365307,B,True,"{""B"": 65}",10
11,65,636,701,663103,663167,C,True,"{""C"": 65}",11
12,65,701,766,1768421,1768485,A,True,"{""A"": 65}",12
13,65,766,831,1513324,1513388,A,True,"{""A"": 65}",13
14,49,831,880,1712581,1712629,A,True,"{""A"": 49}",14
15,65,880,945,376473,376537,B,True,"{""B"": 65}",15
16,65,945,1010,1748057,1748121,A,True,"{""A"": 65}",16
17,65,1010,1075,1148499,1148563,C,True,"{""C"": 65}",17
18,65,1075,1140,858715,858779,C,True,"{""C"": 65}",10
19,65,1140,1205,90670,90734,B,True,"{""B"": 65}",18
20,65,1205,1270,1765490,1765554,A,True,"{""A"": 65}",19
21,65,1270,1335,935247,935311,C,True,"{""C"": 65}",4
22,37,1335,1372,1114422,1114458,C,True,"{""C"": 37}",20
23,65,1372,1437,1608543,1608607,A,True,"{""A"": 65}",21
24,65,1437,1502,233377,233441,B,True,"{""B"": 65}",8
25,65,1502,1567,1325434,1325498,A,True,"{""A"": 65}",22
26,37,1567,1604,1791912,1791948,A,True,"{""A"": 37}",23
27,65,1604,1669,764965,765029,C,True,"{""C"": 65}",24
28,65,1669,1734,1543334,1543398,A,True,"{""A"": 65}",23
29,65,1734,1799,147147,147211,B,True,"{""B"": 65}",12
30,42,1799,1841,771537,771578,C,True,"{""C"": 42}",25
31,38,1841,1879,1786328,1786365,A,True,"{""A"": 38}",26
32,65,1879,1944,1596025,1596089,A,True,"{""A"": 65}",27
33,44,1944,1988,520226,520269,B,True,"{""B"": 44}",28
34,65,1988,2053,87690,87754,B,True,"{""B"": 65}",29
35,65,2053,2118,1635728,1635792,A,True,"{""A"": 65}",30
36,65,2118,2183,383839,383903,B,True,"{""B"": 65}",29
37,65,2183,2248,1725587,1725651,A,True,"{""A"": 65}",31
38,65,2248,2313,591555,591619,B,True,"{""B"": 65}",5
39,35,2313,2348,769025,769059,C,True,"{""C"": 35}",32
40,40,2348,2388,287191,287230,B,True,"{""B"": 40}",18
41,65,2388,2453,84520,84584,B,True,"{""B"": 65}",33
42,65,2453,2518,1274278,1274342,A,True,"{""A"": 65}",34
43,49,2518,2567,946099,946147,C,True,"{""C"": 49}",20
44,40,2567,2607,1243657,1243696,A,True,"{""A"": 40}",35
45,65,2607,2672,378322,378386,B,True,"{""B"": 65}",36
46,65,2672,2737,1646125,1646189,A,True,"{""A"": 65}",37
47,65,2737,2802,254763,254827,B,True,"{""B"": 65}",38
48,65,2802,2867,834748,834812,C,True,"{""C"": 65}",39
49,65,2867,2932,1534254,1534318,A,True,"{""A"": 65}",35
50,65,2932,2997,249757,249821,B,True,"{""B"": 65}",40
51,39,2997,3036,1789896,1789934,A,True,"{""A"": 39}",41
52,65,3036,3101,637840,637904,C,True,"{""C"": 65}",42
53,43,3101,3144,1214135,1214177,A,True,"{""A"": 43}",43
54,65,3144,3209,1779820,1779884,A,True,"{""A"": 65}",21
55,65,3209,3274,1655064,1655128,A,True,"{""A"": 65}",44
56,65,3274,3339,43517,43581,B,True,"{""B"": 65}",45
57,40,3339,3379,1369558,1369597,A,True,"{""A"": 40}",46
58,65,3379,3444,806230,806294,C,True,"{""C"": 65}",47
59,65,3444,3509,477693,477757,B,True,"{""B"": 65}",16
60,49,3509,3558,1436816,1436864,A,True,"{""A"": 49}",48
61,49,3558,3607,868763,868811,C,True,"{""C"": 49}",49
62,65,3607,3672,1498075,1498139,A,True,"{""A"": 65}",50
63,65,3672,3737,457760,457824,B,True,"{""B"": 65}",51
64,65,3737,3802,320897,320961,B,True,"{""B"": 65}",52
65,65,3802,3867,1385541,1385605,A,True,"{""A"": 65}",53
66,65,3867,3932,614096,614160,C,True,"{""C"": 65}",54
67,65,3932,3997,1067503,1067567,C,True,"{""C"": 65}",52
68,65,3997,4062,907532,907596,C,True,"{""C"": 65}",6
69,65,4062,4127,1425947,1426011,A,True,"{""A"": 65}",55
70,46,4127,4173,351432,351477,B,True,"{""B"": 46}",16
71,65,4173,4238,634501,634565,C,True,"{""C"": 65}",56
72,65,4238,4303,1713503,1713567,A,True,"{""A"": 65}",39
73,42,4303,4345,1535389,1535430,A,True,"{""A"": 42}",13
74,65,4345,4410,1515157,1515221,A,True,"{""A"": 65}",57
75,65,4410,4475,1769920,1769984,A,True,"{""A"": 65}",58
76,65,4475,4540,1312745,1312809,A,True,"{""A"": 65}",9
77,65,4540,4605,1102869,1102933,C,True,"{""C"": 65}",59
78,65,4605,4670,1470862,1470926,A,True,"{""A"": 65}",18
79,65,4670,4735,209222,209286,B,True,"{""B"": 65}",60
80,36,4735,4771,803342,803377,C,True,"{""C"": 36}",46
81,65,4771,4836,142952,143016,B,True,"{""B"": 65}",61
82,65,4836,4901,260777,260841,B,True,"{""B"": 65}",62
83,65,4901,4966,1622559,1622623,A,True,"{""A"": 65}",63
84,65,4966,5031,89062,89126,B,True,"{""B"": 65}",64
85,46,5031,5077,1184545,1184590,C,True,"{""C"": 46}",65
86,65,5077,5142,1559896,1559960,A,True,"{""A"": 65}",66
87,65,5142,5207,680729,680793,C,True,"{""C"": 65}",67
88,65,5207,5272,449116,449180,B,True,"{""B"": 65}",68
89,65,5272,5337,4602,4666,B,True,"{""B"": 65}",69
90,65,5337,5402,337228,337292,B,True,"{""B"": 65}",21
91,65,5402,5467,69326,69390,B,True,"{""B"": 65}",70
92,65,5467,5532,233118,233182,B,True,"{""B"": 65}",71
93,65,5532,5597,1161496,1161560,C,True,"{""C"": 65}",72
94,65,5597,5662,1598741,1598805,A,True,"{""A"": 65}",14
95,65,5662,5727,550563,550627,B,True,"{""B"": 65}",73
96,34,5727,5761,675746,675779,C,True,"{""C"": 34}",74
97,65,5761,5826,1238248,1238312,A,True,"{""A"": 65}",75
98,65,5826,5891,1782914,1782978,A,True,"{""A"": 65}",72
99,65,5891,5956,19720,19784,B,True,"{""B"": 65}",76
100,65,5956,6021,1356837,1356901,A,True,"{""A"": 65}",10
101,65,6021,6086,907311,907375,C,True,"{""C"": 65}",77
102,65,6086,6151,1124514,1124578,C,True,"{""C"": 65}",66
103,48,6151,6199,948496,948543,C,True,"{""C"": 48}",78
104,43,6199,6242,1422581,1422623,A,True,"{""A"": 43}",79
105,65,6242,6307,1110176,1110240,C,True,"{""C"": 65}",80
106,65,6307,6372,893124,893188,C,True,"{""C"": 65}",81
107,65,6372,6437,283917,283981,B,True,"{""B"": 65}",82
108,65,6437,6502,571254,571318,B,True,"{""B"": 65}",83
109,65,6502,6567,1383990,1384054,A,True,"{""A"": 65}",84
110,36,6567,6603,472754,472789,B,True,"{""B"": 36}",85
111,65,6603,6668,730557,730621,C,True,"{""C"": 65}",66
112,65,6668,6733,25963,26027,B,True,"{""B"": 65}",18
113,65,6733,6798,1392421,1392485,A,True,"{""A"": 65}",86
114,65,6798,6863,948761,948825,C,True,"{""C"": 65}",87
115,65,6863,6928,1433622,1433686,A,True,"{""A"": 65}",88
116,65,6928,6993,1203223,1203287,A,True,"{""A"": 65}",66
117,65,6993,7058,252031,252095,B,True,"{""B"": 65}",89
118,41,7058,7099,695871,695911,C,True,"{""C"": 41}",90
119,44,7099,7143,1060163,1060206,C,True,"{""C"": 44}",91
120,37,7143,7180,1239756,1239792,A,True,"{""A"": 37}",92
121,65,7180,7245,601739,601803,C,True,"{""C"": 65}",21
122,65,7245,7310,759186,759250,C,True,"{""C"": 65}",93
123,65,7310,7375,1030077,1030141,C,True,"{""C"": 65}",94
124,65,7375,7440,28957,29021,B,True,"{""B"": 65}",95
125,65,7440,7505,429317,429381,B,True,"{""B"": 65}",96
126,65,7505,7570,900877,900941,C,True,"{""C"": 65}",97
127,65,7570,7635,550568,550632,B,True,"{""B"": 65}",98
128,34,7635,7669,1556721,1556754,A,True,"{""A"": 34}",53
129,40,7669,7709,985455,985494,C,True,"{""C"": 40}",31
130,65,7709,7774,498658,498722,B,True,"{""B"": 65}",99
131,43,7774,7817,1190822,1190864,C,True,"{""C"": 43}",100
132,65,7817,7882,1032513,1032577,C,True,"{""C"": 65}",101
133,65,7882,7947,1403535,1403599,A,True,"{""A"": 65}",47
134,65,7947,8012,541642,541706,B,True,"{""B"": 65}",102
135,65,8012,8077,451003,451067,B,True,"{""B"": 65}",103
136,65,8077,8142,908887,908951,C,True,"{""C"": 65}",104
137,65,8142,8207,51739,51803,B,True,"{""B"": 65}",105
138,48,8207,8255,1608663,1608710,A,True,"{""A"": 48}",106
139,65,8255,8320,425723,425787,B,True,"{""B"": 65}",27
140,65,8320,8385,1674591,1674655,A,True,"{""A"": 65}",107
141,65,8385,8450,759064,759128,C,True,"{""C"": 65}",56
142,38,8450,8488,1318832,1318869,A,True,"{""A"": 38}",95
143,65,8488,8553,1649850,1649914,A,True,"{""A"": 65}",108
144,45,8553,8598,111097,111141,B,True,"{""B"": 45}",13
145,65,8598,8663,77499,77563,B,True,"{""B"": 65}",109
146,65,8663,8728,408025,408089,B,True,"{""B"": 65}",110
147,65,8728,8793,220532,220596,B,True,"{""B"": 65}",111
148,65,8793,8858,750459,750523,C,True,"{""C"": 65}",1
149,65,8858,8923,1605012,1605076,A,True,"{""A"": 65}",55
150,65,8923,8988,1554220,1554284,A,True,"{""A"": 65}",112
151,65,8988,9053,43511,43575,B,True,"{""B"": 65}",113
152,65,9053,9118,623095,623159,C,True,"{""C"": 65}",114
153,65,9118,9183,1326368,1326432,A,True,"{""A"": 65}",115
154,65,9183,9248,1292149,1292213,A,True,"{""A"": 65}",116
155,35,9248,9283,814223,814257,C,True,"{""C"": 35}",28
156,65,9283,9348,568178,568242,B,True,"{""B"": 65}",88
157,65,9348,9413,859394,859458,C,True,"{""C"": 65}",44
158,65,9413,9478,1353199,1353263,A,True,"{""A"": 65}",14
159,65,9478,9543,1510925,1510989,A,True,"{""A"": 65}",117
160,34,9543,9577,1185750,1185783,C,True,"{""C"": 34}",118
161,65,9577,9642,1293374,1293438,A,True,"{""A"": 65}",119
162,42,9642,9684,423319,423360,B,True,"{""B"": 42}",120
163,49,9684,9733,1793279,1793327,A,True,"{""A"": 49}",28
164,45,9733,9778,1035208,1035252,C,True,"{""C"": 45}",121
165,65,9778,9843,1443471,1443535,A,True,"{""A"": 65}",29
166,65,9843,9908,216332,216396,B,True,"{""B"": 65}",122
167,49,9908,9957,1602315,1602363,A,True,"{""A"": 49}",41
168,39,9957,9996,447358,447396,B,True,"{""B"": 39}",123
169,65,9996,10061,600630,600694,C,True,"{""C"": 65}",47
170,65,10061,10126,577441,577505,B,True,"{""B"": 65}",10
171,42,10126,10168,1103947,1103988,C,True,"{""C"": 42}",40
172,65,10168,10233,1395129,1395193,A,True,"{""A"": 65}",124
173,65,10233,10298,633029,633093,C,True,"{""C"": 65}",125
174,65,10298,10363,684317,684381,C,True,"{""C"": 65}",126
175,45,10363,10408,191549,191593,B,True,"{""B"": 45}",127
176,41,10408,10449,1500689,1500729,A,True,"{""A"": 41}",128
177,65,10449,10514,545871,545935,B,True,"{""B"": 65}",129
178,65,10514,10579,1568371,1568435,A,True,"{""A"": 65}",130
179,49,10579,10628,433739,433787,B,True,"{""B"": 49}",60
180,65,10628,10693,1157271,1157335,C,True,"{""C"": 65}",131
181,65,10693,10758,590912,590976,B,True,"{""B"": 65}",97
182,35,10758,10793,1697069,1697103,A,True,"{""A"": 35}",53
183,65,10793,10858,982277,982341,C,True,"{""C"": 65}",43
184,38,10858,10896,1430331,1430368,A,True,"{""A"": 38}",22
