episode_index,dataset_from_index,dataset_to_index,length,task,official_env,fully_within_single_scene,overlap_frames
0,0,43,43,lift_red_block_drawer: pick up the red block lying in the drawer,B,True,"{""B"": 43}"
1,43,85,42,turn_off_lightbulb: push the switch downwards,B,True,"{""B"": 42}"
2,85,150,65,move_slider_left: slide the door to the left,B,True,"{""B"": 65}"
3,150,215,65,open_drawer: open the drawer,B,True,"{""B"": 65}"
4,215,280,65,turn_on_lightbulb: turn on the yellow lamp,B,True,"{""B"": 65}"
5,280,321,41,place_in_drawer: place the grasped object in the drawer,B,True,"{""B"": 41}"
6,321,386,65,lift_pink_block_drawer: go towards the pink block in the drawer and pick it up,B,True,"{""B"": 65}"
7,386,451,65,rotate_red_block_right: grasp the red block and turn it right,B,True,"{""B"": 65}"
8,451,516,65,rotate_pink_block_right: grasp the pink block and turn it right,B,True,"{""B"": 65}"
9,516,581,65,turn_off_lightbulb: move down the switch,B,True,"{""B"": 65}"
10,581,646,65,turn_off_led: turn off the green light,B,True,"{""B"": 65}"
11,646,711,65,place_in_drawer: put the grasped object in the drawer,B,True,"{""B"": 65}"
12,711,755,44,turn_on_led: toggle the button to turn on the led,B,True,"{""B"": 44}"
13,755,820,65,lift_red_block_slider: lift the red block lying on the shelf,B,True,"{""B"": 65}"
14,820,857,37,place_in_slider: put the block in the slider,B,True,"{""B"": 37}"
15,857,922,65,rotate_blue_block_left: rotate the blue block to the left,B,True,"{""B"": 65}"
16,922,987,65,"open_drawer: grasp the drawer handle, then open it",B,True,"{""B"": 65}"
17,987,1029,42,turn_off_led: push down the button to turn off the green light,B,True,"{""B"": 42}"
18,1029,1071,42,push_pink_block_left: push left the pink block,B,True,"{""B"": 42}"
19,1071,1113,42,place_in_slider: place the grasped object in the sliding cabinet,B,True,"{""B"": 42}"
20,1113,1178,65,lift_pink_block_drawer: lift the pink block lying in the drawer,B,True,"{""B"": 65}"
21,1178,1243,65,move_slider_left: move the sliding door to the left,B,True,"{""B"": 65}"
22,1243,1308,65,rotate_red_block_right: take the red block and rotate it right,B,True,"{""B"": 65}"
23,1308,1373,65,unstack_block: remove the top block,B,True,"{""B"": 65}"
24,1373,1419,46,lift_red_block_table: lift the red block,B,True,"{""B"": 46}"
25,1419,1484,65,move_slider_left: slide the door to the left side,B,True,"{""B"": 65}"
26,1484,1549,65,lift_red_block_drawer: lift the red block lying in the drawer,B,True,"{""B"": 65}"
27,1549,1587,38,unstack_block: take off the stacked block,B,True,"{""B"": 38}"
28,1587,1652,65,lift_red_block_table: lift the red block from the table,B,True,"{""B"": 65}"
29,1652,1717,65,move_slider_right: slide the door to the right side,B,True,"{""B"": 65}"
30,1717,1782,65,unstack_block: collapse the stacked blocks,B,True,"{""B"": 65}"
31,1782,1823,41,place_in_slider: place the block in the sliding cabinet,B,True,"{""B"": 41}"
32,1823,1888,65,lift_blue_block_table: grasp the blue block and lift it up,B,True,"{""B"": 65}"
33,1888,1953,65,rotate_red_block_right: rotate the red block 90 degrees to the right,B,True,"{""B"": 65}"
34,1953,2018,65,move_slider_left: move the door to the left side,B,True,"{""B"": 65}"
35,2018,2057,39,place_in_slider: place the grasped object in the slider,B,True,"{""B"": 39}"
36,2057,2105,48,"move_slider_left: grasp the door handle, then move the door to the left",B,True,"{""B"": 48}"
37,2105,2170,65,lift_blue_block_slider: grasp the blue block lying in the cabinet,B,True,"{""B"": 65}"
38,2170,2235,65,push_into_drawer: push the object into the drawer,B,True,"{""B"": 65}"
39,2235,2300,65,open_drawer: go open the drawer,B,True,"{""B"": 65}"
40,2300,2365,65,open_drawer: pull the handle of the drawer,B,True,"{""B"": 65}"
41,2365,2407,42,turn_on_led: push the button to turn on the green light,B,True,"{""B"": 42}"
42,2407,2472,65,lift_pink_block_slider: grasp the pink block lying in the cabinet,B,True,"{""B"": 65}"
43,2472,2537,65,open_drawer: go open the drawer,B,True,"{""B"": 65}"
44,2537,2602,65,turn_off_lightbulb: slide down the switch,B,True,"{""B"": 65}"
45,2602,2667,65,turn_on_lightbulb: toggle the light switch to turn on the yellow light,B,True,"{""B"": 65}"
