run,step,loss,source_log
TA splitA A-only 100k,200,7.066,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,400,3.271,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,600,2.851,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,800,2.526,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,1000,2.081,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,2000,1.553,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,3000,1.173,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,4000,0.908,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,5000,0.722,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,6000,0.606,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,7000,0.528,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,8000,0.482,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,9000,0.444,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,10000,0.43,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,11000,0.387,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,12000,0.38,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,13000,0.359,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,14000,0.346,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,15000,0.338,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,16000,0.336,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,17000,0.334,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,18000,0.333,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,19000,0.327,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,20000,0.318,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,21000,0.307,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,22000,0.293,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,23000,0.304,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,24000,0.29,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,25000,0.296,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,26000,0.284,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,27000,0.283,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,28000,0.294,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,29000,0.299,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,30000,0.284,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,31000,0.293,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,32000,0.274,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,33000,0.275,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,34000,0.26,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,35000,0.252,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,36000,0.266,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,37000,0.267,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,38000,0.266,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,39000,0.273,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,40000,0.266,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,41000,0.254,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,42000,0.267,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,43000,0.259,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,44000,0.261,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,45000,0.252,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,46000,0.255,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,47000,0.253,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,48000,0.26,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,49000,0.259,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,50000,0.247,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,51000,0.26,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,52000,0.265,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,53000,0.239,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,54000,0.249,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,55000,0.25,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,56000,0.248,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,57000,0.247,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,58000,0.242,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,59000,0.24,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,60000,0.249,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,61000,0.235,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,62000,0.246,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,63000,0.254,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,64000,0.24,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,65000,0.231,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,66000,0.235,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,67000,0.232,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,68000,0.242,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,69000,0.23,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,70000,0.235,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,71000,0.238,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,72000,0.234,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,73000,0.227,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,74000,0.232,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,75000,0.23,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,76000,0.229,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,77000,0.221,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
TA splitA A-only 100k,78000,0.231,logs-full\act_ta_a_taskcond_100k_seed0.ta_official.train.log
