detail_file,sequence_index,subtask,success,steps,condition_type,task_index,match_score,language,matched_training_task
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,1,rotate_blue_block_right,False,360,onehot,77,0.9176470588235294,take the blue block and rotate it to the right,rotate_blue_block_right: take the blue block and rotate it right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,2,turn_off_led,False,360,onehot,299,0.9397590361445783,press the button to turn off the led light,turn_off_led: push the button to turn off the led light
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,3,lift_pink_block_slider,False,360,onehot,80,0.9010989010989011,lift the pink block from the sliding cabinet,lift_pink_block_slider: pick up the pink block from the sliding cabinet
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,4,rotate_blue_block_right,False,360,onehot,77,0.9176470588235294,take the blue block and rotate it to the right,rotate_blue_block_right: take the blue block and rotate it right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,5,open_drawer,True,46,onehot,40,0.8888888888888888,pull the handle to open the drawer,open_drawer: pull the handle of the drawer
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,5,lift_pink_block_table,False,360,onehot,290,0.7916666666666666,grasp and lift the pink block,lift_pink_block_table: lift the pink block
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,6,push_blue_block_left,False,360,onehot,220,0.8852459016393442,go push the blue block left,push_blue_block_left: go push the blue block to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,7,open_drawer,True,46,onehot,40,0.8888888888888888,pull the handle to open the drawer,open_drawer: pull the handle of the drawer
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,7,rotate_red_block_right,False,360,onehot,22,0.9156626506024096,take the red block and rotate it to the right,rotate_red_block_right: take the red block and rotate it right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,8,push_pink_block_right,False,360,onehot,355,0.8888888888888888,go push the pink block right,push_pink_block_right: go push the pink block to the right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,9,open_drawer,True,43,onehot,40,0.8888888888888888,pull the handle to open the drawer,open_drawer: pull the handle of the drawer
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,9,push_red_block_right,True,342,onehot,348,0.8852459016393442,go push the red block right,push_red_block_right: go push the red block to the right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,9,move_slider_left,True,93,onehot,232,0.9295774647887324,push the sliding door to the left side,move_slider_left: push the sliding door to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,9,lift_pink_block_slider,False,360,onehot,80,0.9010989010989011,lift the pink block from the sliding cabinet,lift_pink_block_slider: pick up the pink block from the sliding cabinet
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,10,push_red_block_left,False,360,onehot,328,0.8813559322033898,go push the red block left,push_red_block_left: go push the red block to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,11,rotate_blue_block_left,False,360,onehot,387,0.9156626506024096,take the blue block and rotate it to the left,rotate_blue_block_left: take the blue block and rotate it left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,12,lift_pink_block_slider,False,360,onehot,80,0.9010989010989011,lift the pink block from the sliding cabinet,lift_pink_block_slider: pick up the pink block from the sliding cabinet
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,13,move_slider_left,True,43,onehot,232,0.9295774647887324,push the sliding door to the left side,move_slider_left: push the sliding door to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,13,rotate_red_block_left,False,360,onehot,375,0.9135802469135802,take the red block and rotate it to the left,rotate_red_block_left: take the red block and rotate it left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,14,turn_on_led,False,360,onehot,284,0.9382716049382716,press the button to turn on the led light,turn_on_led: push the button to turn on the led light
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,15,lift_red_block_slider,False,360,onehot,363,0.898876404494382,lift the red block from the sliding cabinet,lift_red_block_slider: pick up the red block from the sliding cabinet
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,16,move_slider_left,True,43,onehot,232,0.9295774647887324,push the sliding door to the left side,move_slider_left: push the sliding door to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,16,push_pink_block_left,False,360,onehot,247,0.8852459016393442,go push the pink block left,push_pink_block_left: go push the pink block to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,17,push_red_block_left,False,360,onehot,328,0.8813559322033898,go push the red block left,push_red_block_left: go push the red block to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,18,push_red_block_left,False,360,onehot,328,0.8813559322033898,go push the red block left,push_red_block_left: go push the red block to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,19,turn_on_lightbulb,False,360,onehot,185,0.8735632183908046,use the switch to turn on the light bulb,turn_on_lightbulb: move the light switch to turn on the light bulb
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,20,move_slider_left,True,59,onehot,232,0.9295774647887324,push the sliding door to the left side,move_slider_left: push the sliding door to the left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,20,lift_red_block_table,False,360,onehot,24,0.782608695652174,grasp and lift the red block,lift_red_block_table: lift the red block
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,21,open_drawer,True,48,onehot,40,0.8888888888888888,pull the handle to open the drawer,open_drawer: pull the handle of the drawer
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,21,turn_on_lightbulb,False,360,onehot,185,0.8735632183908046,use the switch to turn on the light bulb,turn_on_lightbulb: move the light switch to turn on the light bulb
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,22,move_slider_right,True,149,onehot,195,0.9315068493150684,push the sliding door to the right side,move_slider_right: push the sliding door to the right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,22,turn_off_lightbulb,False,360,onehot,235,0.8764044943820225,use the switch to turn off the light bulb,turn_off_lightbulb: move the light switch to turn off the light bulb
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,23,rotate_pink_block_right,False,360,onehot,378,0.9176470588235294,take the pink block and rotate it to the right,rotate_pink_block_right: take the pink block and rotate it right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,24,turn_on_led,False,360,onehot,284,0.9382716049382716,press the button to turn on the led light,turn_on_led: push the button to turn on the led light
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,25,rotate_blue_block_right,False,360,onehot,77,0.9176470588235294,take the blue block and rotate it to the right,rotate_blue_block_right: take the blue block and rotate it right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,26,lift_blue_block_slider,False,360,onehot,353,0.9010989010989011,lift the blue block from the sliding cabinet,lift_blue_block_slider: pick up the blue block from the sliding cabinet
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,27,push_blue_block_right,False,360,onehot,254,0.8888888888888888,go push the blue block right,push_blue_block_right: go push the blue block to the right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,28,push_red_block_right,True,238,onehot,348,0.8852459016393442,go push the red block right,push_red_block_right: go push the red block to the right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,28,turn_on_lightbulb,True,79,onehot,185,0.8735632183908046,use the switch to turn on the light bulb,turn_on_lightbulb: move the light switch to turn on the light bulb
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,28,push_into_drawer,False,360,onehot,180,0.8444444444444444,slide the block that it falls into the drawer,push_into_drawer: push the object that it falls into the drawer
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,29,turn_off_lightbulb,False,360,onehot,235,0.8764044943820225,use the switch to turn off the light bulb,turn_off_lightbulb: move the light switch to turn off the light bulb
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,30,lift_red_block_table,False,360,onehot,24,0.782608695652174,grasp and lift the red block,lift_red_block_table: lift the red block
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,31,lift_blue_block_table,False,360,onehot,264,0.7916666666666666,grasp and lift the blue block,lift_blue_block_table: lift the blue block
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,32,lift_pink_block_table,True,342,onehot,290,0.7916666666666666,grasp and lift the pink block,lift_pink_block_table: lift the pink block
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,32,place_in_slider,True,20,onehot,209,0.8571428571428571,store the grasped block in the sliding cabinet,place_in_slider: put the grasped object in the sliding cabinet
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,32,push_into_drawer,False,360,onehot,180,0.8444444444444444,slide the block that it falls into the drawer,push_into_drawer: push the object that it falls into the drawer
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,33,rotate_pink_block_left,False,360,onehot,123,0.9156626506024096,take the pink block and rotate it to the left,rotate_pink_block_left: take the pink block and rotate it left
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,34,turn_off_led,False,360,onehot,299,0.9397590361445783,press the button to turn off the led light,turn_off_led: push the button to turn off the led light
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,35,move_slider_right,True,297,onehot,195,0.9315068493150684,push the sliding door to the right side,move_slider_right: push the sliding door to the right
/home/zyx2001/hw3_task2_lerobot_act/results/calvin_eval_extensions/act_a_proxy_taskcond_seed0/D/calvin_act_a_proxy_taskcond_seed0_onehot_D_eval_details.json,35,push_blue_block_left,False,360,onehot,220,0.8852459016393442,go push the blue block left,push_blue_block_left: go push the blue block to the left
